sample	v_gene	frequency
PBMC_PROGRESSION	TRBV7-8*00	0.00948810069201649
PBMC_PROGRESSION	TRBV7-9*00	0.0103681913534107
PBMC_PROGRESSION	TRBV9*00	0.0180358305403516
PBMC_RELAPSE	TRBV10-1*00	0.0241596638655462
PBMC_RELAPSE	TRBV10-2*00	0.0093203948245965
PBMC_RELAPSE	TRBV10-3*00	0.0164565826330532
PBMC_RELAPSE	TRBV11-1*00	0.00396825396825397
PBMC_RELAPSE	TRBV11-2*00	0.0271275176737362
PBMC_RELAPSE	TRBV11-3*00	0.00206749366413232
PBMC_RELAPSE	TRBV12-3*00	0.0701447245564893
PBMC_RELAPSE	TRBV12-5*00	0.0130385487528345
PBMC_RELAPSE	TRBV13*00	0.0146892090169401
PBMC_RELAPSE	TRBV14*00	0.00635254101640656
PBMC_RELAPSE	TRBV15*00	0.054671868747499
PBMC_RELAPSE	TRBV16*00	0.00103374683206616
PBMC_RELAPSE	TRBV18*00	0.0656429238362012
PBMC_RELAPSE	TRBV19*00	0.0106375883686808
PBMC_RELAPSE	TRBV2*00	0.00541883420034681
PBMC_RELAPSE	TRBV20-1*00	0.0456682673069228
PBMC_RELAPSE	TRBV23-1*00	0.00163398692810458
PBMC_RELAPSE	TRBV24-1*00	0.002734427104175
PBMC_RELAPSE	TRBV25-1*00	0.00988728824863279
PBMC_RELAPSE	TRBV27*00	0.0152894491129785
PBMC_RELAPSE	TRBV28*00	0.0150393490729625
PBMC_RELAPSE	TRBV29-1*00	0.0090202747765773
PBMC_RELAPSE	TRBV3-1*00	0.00406829398426037
PBMC_RELAPSE	TRBV3-2*00	1.66733360010671e-05
PBMC_RELAPSE	TRBV30*00	0.00211751367213552
PBMC_RELAPSE	TRBV4-1*00	0.0230758970254769
PBMC_RELAPSE	TRBV4-2*00	0.0133219954648526
PBMC_RELAPSE	TRBV4-3*00	0.0908196611978125
PBMC_RELAPSE	TRBV5-1*00	0.0389155662264906
PBMC_RELAPSE	TRBV5-4*00	0.000650260104041617
PBMC_RELAPSE	TRBV5-5*00	0.000283446712018141
PBMC_RELAPSE	TRBV5-6*00	0.000416833400026677
PBMC_RELAPSE	TRBV5-8*00	0.00166733360010671
PBMC_RELAPSE	TRBV6-1*00	0.0118714152327598
PBMC_RELAPSE	TRBV6-2*00	0.0135220754968654
PBMC_RELAPSE	TRBV6-3*00	0.000233426704014939
PBMC_RELAPSE	TRBV6-4*00	0.000316793384020275
PBMC_RELAPSE	TRBV6-5*00	0.0156896091770041
PBMC_RELAPSE	TRBV6-6*00	0.0220421501934107
PBMC_RELAPSE	TRBV6-7*00	5.00200080032013e-05
PBMC_RELAPSE	TRBV6-9*00	0.000566893424036281
PBMC_RELAPSE	TRBV7-2*00	0.0027844471121782
PBMC_RELAPSE	TRBV7-3*00	0.0181239162331599
PBMC_RELAPSE	TRBV7-4*00	8.33666800053355e-05
PBMC_RELAPSE	TRBV7-6*00	0.000683606776043751
PBMC_RELAPSE	TRBV7-7*00	0.000716953448045885
PBMC_RELAPSE	TRBV7-8*00	0.00551887421635321
PBMC_RELAPSE	TRBV7-9*00	0.00401827397625717
PBMC_RELAPSE	TRBV9*00	0.0106209150326797
TUMOR_PRE	TRBV10-1*00	0.00384196784879537
TUMOR_PRE	TRBV10-2*00	0.00843924516631677
TUMOR_PRE	TRBV10-3*00	0.0302718519355549
TUMOR_PRE	TRBV11-1*00	0.00330076185151924
TUMOR_PRE	TRBV11-2*00	0.0294987005108747
TUMOR_PRE	TRBV11-3*00	0.00262276752526124
TUMOR_PRE	TRBV12-3*00	0.143645587386927
TUMOR_PRE	TRBV12-4*00	0.000154630284936037
TUMOR_PRE	TRBV12-5*00	0.00307476374276657
TUMOR_PRE	TRBV13*00	0.00517416722670584
TUMOR_PRE	TRBV14*00	0.0122812130151121
TUMOR_PRE	TRBV15*00	0.0439328428777885
TUMOR_PRE	TRBV16*00	0.000190314196844353
TUMOR_PRE	TRBV18*00	0.0655810827688337
TUMOR_PRE	TRBV19*00	0.0182642155784065
TUMOR_PRE	TRBV2*00	0.0085106129901334
TUMOR_PRE	TRBV20-1*00	0.0497374258815413
TUMOR_PRE	TRBV23-1*00	0.00143925111363542
TUMOR_PRE	TRBV24-1*00	0.00400254545238279
TUMOR_PRE	TRBV25-1*00	0.066711073312597
TUMOR_PRE	TRBV27*00	0.013095995670352
TUMOR_PRE	TRBV28*00	0.0274766121694034
TUMOR_PRE	TRBV29-1*00	0.015421397263044
TUMOR_PRE	TRBV3-1*00	0.0069345735475161
TUMOR_PRE	TRBV30*00	0.00725572875469095
TUMOR_PRE	TRBV4-1*00	0.029427332687058
TUMOR_PRE	TRBV4-2*00	0.0141367764343446
