	PBMC_PRE	TUMOR_PRE	PBMC_RELAPSE	PBMC_PROGRESSION	TUMOR_PROGRESSION
PBMC_PRE	1	0.132287266143633	0.055053149293987	0.0899336283185841	0.076673547626069
TUMOR_PRE	0.132287266143633	1	0.0496699669966997	0.0719569603227976	0.0688919372046944
PBMC_RELAPSE	0.055053149293987	0.0496699669966997	1	0.0641644603644292	0.0507975460122699
PBMC_PROGRESSION	0.0899336283185841	0.0719569603227976	0.0641644603644292	1	0.0632102272727273
TUMOR_PROGRESSION	0.076673547626069	0.0688919372046944	0.0507975460122699	0.0632102272727273	1
