sample	productive_richness	shannon	simpson	clonality	top1_fraction	top10_fraction	top100_fraction
PBMC_PRE	4994	7.32963970500091	0.992792870432955	0.139308808679798	0.0780205964203478	0.146124397858424	0.303662998488466
TUMOR_PRE	4710	6.58751100544093	0.984339961768663	0.221098994131171	0.0927277329765306	0.273720753625285	0.449376197880881
PBMC_RELAPSE	1862	5.64808100372364	0.978228016642808	0.249863712983006	0.113847243536773	0.341258411049463	0.595372447172707
PBMC_PROGRESSION	5193	6.68139283265742	0.984064763851474	0.219013368964507	0.108227437451536	0.268139450238167	0.460856767577661
TUMOR_PROGRESSION	2534	6.96170782797715	0.997169543676904	0.111749978701963	0.0357195193434936	0.104435326299336	0.292436010160219
